Transaction Event,Transaction Thread Id,Transaction TimeNs,ValidIndex Event,ValidIndex Thread Id,ValidIndex TimeNs,Position Event,Position Thread Id,Position TimeNs,State Event,State Thread Id,State TimeNs,Name Event,Name Thread Id,Name TimeNs,ComplexComponent Event,ComplexComponent Thread Id,ComplexComponent TimeNs
TransactionStart,Main,1117786187984900,WriteLock,Main,1117786187989600,WriteLock,Main,1117786187989800,WriteLock,Main,1117786187989900,WriteLock,Main,1117786187990000,WriteLock,Main,1117786187990100
TransactionEnd,Main,1117786188372200,CommitLock,Main,1117786188308000,CommitLock,Main,1117786188307600,CommitLock,Main,1117786188307700,CommitLock,Main,1117786188307800,CommitLock,Main,1117786188307900
TransactionStart,PositionUpdate,1117786192687300,WriteUnlock,Main,1117786188372100,WriteUnlock,Main,1117786188371900,WriteUnlock,Main,1117786188366300,WriteUnlock,Main,1117786188361800,WriteUnlock,Main,1117786188324800
TransactionEnd,PositionUpdate,1117786192690900,ReadLock,PositionUpdate,1117786192687900,WriteLock,PositionUpdate,1117786192688200,ReadLock,PositionUpdate,1117786192688400,ReadLock,Print,1117786192699500,WriteLock,Print,1117786192699700
TransactionStart,Print,1117786192698500,ReadUnlock,PositionUpdate,1117786192690900,CommitLock,PositionUpdate,1117786192690100,ReadUnlock,PositionUpdate,1117786192690100,ReadUnlock,Print,1117786193195000,WriteLockWait,StateUpdate,1117786192756300
TransactionStart,StateUpdate,1117786192754900,ReadLock,Print,1117786192699000,WriteUnlock,PositionUpdate,1117786192690800,WriteLock,StateUpdate,1117786192755600,ReadLock,Print,1117787208557900,CommitLock,Print,1117786193191300
TransactionEnd,Print,1117786193195400,ReadLock,StateUpdate,1117786192755400,ReadLock,Print,1117786192699100,WriteUnlock,StateUpdate,1117786192756100,ReadUnlock,Print,1117787208638100,WriteUnlock,Print,1117786193191600
TransactionEnd,StateUpdate,1117786193203800,ReadUnlock,StateUpdate,1117786192755800,ReadUnlock,Print,1117786193195200,WriteLock,StateUpdate,1117786193201100,ReadLock,Print,1117788214429000,WriteLock,StateUpdate,1117786193200600
TransactionStart,StateUpdate,1117786296355400,ReadUnlock,Print,1117786193195300,WriteLock,PositionUpdate,1117786296365300,CommitLock,StateUpdate,1117786193202900,ReadUnlock,Print,1117788214486900,CommitLock,StateUpdate,1117786193203000
TransactionEnd,StateUpdate,1117786296359700,ReadLock,StateUpdate,1117786193201000,CommitLock,PositionUpdate,1117786296366700,WriteUnlock,StateUpdate,1117786193203600,ReadLock,Print,1117789224034200,WriteUnlock,StateUpdate,1117786193203200
TransactionStart,PositionUpdate,1117786296364800,ReadUnlock,StateUpdate,1117786193203700,WriteUnlock,PositionUpdate,1117786296367100,WriteLock,StateUpdate,1117786296356400,ReadUnlock,Print,1117789224368600,WriteLock,StateUpdate,1117786296356600
TransactionEnd,PositionUpdate,1117786296367300,ReadLock,StateUpdate,1117786296356100,WriteLock,PositionUpdate,1117786406319800,WriteUnlock,StateUpdate,1117786296359500,ReadLock,Print,1117790237282100,WriteUnlock,StateUpdate,1117786296358400
TransactionStart,PositionUpdate,1117786406318600,ReadUnlock,StateUpdate,1117786296359600,CommitLock,PositionUpdate,1117786406322200,ReadLock,PositionUpdate,1117786296365400,ReadUnlock,Print,1117790237319800,WriteLock,StateUpdate,1117786406330700
TransactionEnd,PositionUpdate,1117786406323500,ReadLock,PositionUpdate,1117786296365100,WriteUnlock,PositionUpdate,1117786406323300,ReadUnlock,PositionUpdate,1117786296366700,,,,WriteUnlock,StateUpdate,1117786406331700
TransactionStart,StateUpdate,1117786406330100,ReadUnlock,PositionUpdate,1117786296367200,WriteLock,PositionUpdate,1117786517357200,ReadLock,PositionUpdate,1117786406320000,,,,WriteLock,StateUpdate,1117786517351500
TransactionEnd,StateUpdate,1117786406332000,ReadLock,PositionUpdate,1117786406319500,CommitLock,PositionUpdate,1117786517358800,ReadUnlock,PositionUpdate,1117786406322200,,,,WriteUnlock,StateUpdate,1117786517353200
TransactionStart,StateUpdate,1117786517350300,ReadUnlock,PositionUpdate,1117786406323400,WriteUnlock,PositionUpdate,1117786517359400,WriteLock,StateUpdate,1117786406330400,,,,WriteLock,StateUpdate,1117786627419300
TransactionEnd,StateUpdate,1117786517354300,ReadLock,StateUpdate,1117786406330300,WriteLock,PositionUpdate,1117786627418300,WriteUnlock,StateUpdate,1117786406331800,,,,WriteUnlock,StateUpdate,1117786627420300
TransactionStart,PositionUpdate,1117786517356600,ReadUnlock,StateUpdate,1117786406331900,CommitLock,PositionUpdate,1117786627420200,WriteLock,StateUpdate,1117786517351300,,,,WriteLock,StateUpdate,1117786737990200
TransactionEnd,PositionUpdate,1117786517359500,ReadLock,StateUpdate,1117786517351000,WriteUnlock,PositionUpdate,1117786627421100,WriteUnlock,StateUpdate,1117786517354100,,,,WriteUnlock,StateUpdate,1117786737992100
TransactionStart,PositionUpdate,1117786627417400,ReadUnlock,StateUpdate,1117786517354200,WriteLock,PositionUpdate,1117786737983600,ReadLock,PositionUpdate,1117786517357400,,,,WriteLock,StateUpdate,1117786847010700
TransactionStart,StateUpdate,1117786627418800,ReadLock,PositionUpdate,1117786517356900,CommitLock,PositionUpdate,1117786737986300,ReadUnlock,PositionUpdate,1117786517358800,,,,WriteUnlock,StateUpdate,1117786847012100
TransactionEnd,StateUpdate,1117786627421100,ReadUnlock,PositionUpdate,1117786517359500,WriteUnlock,PositionUpdate,1117786737987600,ReadLock,PositionUpdate,1117786627418600,,,,WriteLock,StateUpdate,1117786956542200
TransactionEnd,PositionUpdate,1117786627421300,ReadLock,PositionUpdate,1117786627418100,WriteLock,PositionUpdate,1117786847016600,WriteLock,StateUpdate,1117786627419100,,,,WriteUnlock,StateUpdate,1117786956543400
TransactionStart,PositionUpdate,1117786737982700,ReadLock,StateUpdate,1117786627419000,CommitLock,PositionUpdate,1117786847018600,ReadUnlock,PositionUpdate,1117786627420200,,,,WriteLock,StateUpdate,1117787066559100
TransactionEnd,PositionUpdate,1117786737987800,ReadUnlock,StateUpdate,1117786627421100,WriteUnlock,PositionUpdate,1117786847019300,WriteUnlock,StateUpdate,1117786627421000,,,,WriteUnlock,StateUpdate,1117787066560600
TransactionStart,StateUpdate,1117786737989600,ReadUnlock,PositionUpdate,1117786627421200,WriteLock,PositionUpdate,1117786956535400,ReadLock,PositionUpdate,1117786737983900,,,,WriteLock,StateUpdate,1117787176570800
TransactionEnd,StateUpdate,1117786737992600,ReadLock,PositionUpdate,1117786737983200,CommitLock,PositionUpdate,1117786956537600,ReadUnlock,PositionUpdate,1117786737986400,,,,WriteUnlock,StateUpdate,1117787176572300
TransactionStart,StateUpdate,1117786847009100,ReadUnlock,PositionUpdate,1117786737987700,WriteUnlock,PositionUpdate,1117786956538900,WriteLock,StateUpdate,1117786737989900,,,,WriteLock,Print,1117787208558100
TransactionEnd,StateUpdate,1117786847013300,ReadLock,StateUpdate,1117786737989800,WriteLock,PositionUpdate,1117787066567400,WriteUnlock,StateUpdate,1117786737992300,,,,CommitLock,Print,1117787208637000
TransactionStart,PositionUpdate,1117786847015800,ReadUnlock,StateUpdate,1117786737992400,CommitLock,PositionUpdate,1117787066568700,WriteLock,StateUpdate,1117786847010400,,,,WriteUnlock,Print,1117787208637200
TransactionEnd,PositionUpdate,1117786847019500,ReadLock,StateUpdate,1117786847010100,WriteUnlock,PositionUpdate,1117787066569100,WriteUnlock,StateUpdate,1117786847013100,,,,WriteLock,StateUpdate,1117787287815400
TransactionStart,PositionUpdate,1117786956534400,ReadUnlock,StateUpdate,1117786847013200,WriteLock,PositionUpdate,1117787176575100,ReadLock,PositionUpdate,1117786847016800,,,,CommitLock,StateUpdate,1117787287816800
TransactionEnd,PositionUpdate,1117786956539200,ReadLock,PositionUpdate,1117786847016300,CommitLock,PositionUpdate,1117787176576700,ReadUnlock,PositionUpdate,1117786847018700,,,,WriteUnlock,StateUpdate,1117787287816900
TransactionStart,StateUpdate,1117786956541500,ReadUnlock,PositionUpdate,1117786847019400,WriteUnlock,PositionUpdate,1117787176577300,ReadLock,PositionUpdate,1117786956535700,,,,WriteLock,StateUpdate,1117787396861300
TransactionEnd,StateUpdate,1117786956544000,ReadLock,PositionUpdate,1117786956535100,ReadLock,Print,1117787208557500,ReadUnlock,PositionUpdate,1117786956537600,,,,WriteUnlock,StateUpdate,1117787396863000
TransactionStart,StateUpdate,1117787066557900,ReadUnlock,PositionUpdate,1117786956539100,ReadUnlock,Print,1117787208638200,WriteLock,StateUpdate,1117786956542000,,,,WriteLock,StateUpdate,1117787506898100
TransactionEnd,StateUpdate,1117787066561600,ReadLock,StateUpdate,1117786956541800,WriteLock,PositionUpdate,1117787287805200,WriteUnlock,StateUpdate,1117786956543700,,,,WriteUnlock,StateUpdate,1117787506899800
TransactionStart,PositionUpdate,1117787066567000,ReadUnlock,StateUpdate,1117786956543800,CommitLock,PositionUpdate,1117787287807300,WriteLock,StateUpdate,1117787066558900,,,,WriteLock,StateUpdate,1117787617070400
TransactionEnd,PositionUpdate,1117787066569300,ReadLock,StateUpdate,1117787066558500,WriteUnlock,PositionUpdate,1117787287808600,WriteUnlock,StateUpdate,1117787066561400,,,,WriteUnlock,StateUpdate,1117787617071400
TransactionStart,StateUpdate,1117787176569600,ReadUnlock,StateUpdate,1117787066561500,WriteLock,PositionUpdate,1117787396864500,ReadLock,PositionUpdate,1117787066567500,,,,WriteLock,StateUpdate,1117787726404200
TransactionEnd,StateUpdate,1117787176573600,ReadLock,PositionUpdate,1117787066567200,CommitLock,PositionUpdate,1117787396866500,ReadUnlock,PositionUpdate,1117787066568700,,,,WriteUnlock,StateUpdate,1117787726405600
TransactionStart,PositionUpdate,1117787176574300,ReadUnlock,PositionUpdate,1117787066569200,WriteUnlock,PositionUpdate,1117787396867200,WriteLock,StateUpdate,1117787176570500,,,,WriteLock,StateUpdate,1117787836420600
TransactionEnd,PositionUpdate,1117787176577500,ReadLock,StateUpdate,1117787176570200,WriteLock,PositionUpdate,1117787506897700,WriteUnlock,StateUpdate,1117787176573300,,,,WriteUnlock,StateUpdate,1117787836422200
TransactionStart,Print,1117787208556600,ReadUnlock,StateUpdate,1117787176573500,CommitLock,PositionUpdate,1117787506900300,ReadLock,PositionUpdate,1117787176575200,,,,WriteLock,StateUpdate,1117787947428700
TransactionEnd,Print,1117787208638500,ReadLock,PositionUpdate,1117787176574800,WriteUnlock,PositionUpdate,1117787506901000,ReadUnlock,PositionUpdate,1117787176576800,,,,WriteUnlock,StateUpdate,1117787947430100
TransactionStart,PositionUpdate,1117787287804200,ReadUnlock,PositionUpdate,1117787176577400,WriteLock,PositionUpdate,1117787617058100,ReadLock,PositionUpdate,1117787287805400,,,,WriteLock,StateUpdate,1117788057426800
TransactionEnd,PositionUpdate,1117787287808900,ReadLock,Print,1117787208557300,CommitLock,PositionUpdate,1117787617060800,ReadUnlock,PositionUpdate,1117787287807300,,,,WriteUnlock,StateUpdate,1117788057428200
TransactionStart,StateUpdate,1117787287814900,ReadUnlock,Print,1117787208638300,WriteUnlock,PositionUpdate,1117787617062100,WriteLock,StateUpdate,1117787287815200,,,,WriteLock,StateUpdate,1117788167423100
TransactionEnd,StateUpdate,1117787287817400,ReadLock,PositionUpdate,1117787287804800,WriteLock,PositionUpdate,1117787726414100,CommitLock,StateUpdate,1117787287816700,,,,WriteUnlock,StateUpdate,1117788167424600
TransactionStart,StateUpdate,1117787396859800,ReadUnlock,PositionUpdate,1117787287808700,CommitLock,PositionUpdate,1117787726415400,WriteUnlock,StateUpdate,1117787287817200,,,,WriteLock,Print,1117788214429300
TransactionStart,PositionUpdate,1117787396863800,ReadLock,StateUpdate,1117787287815100,WriteUnlock,PositionUpdate,1117787726415800,WriteLock,StateUpdate,1117787396861100,,,,CommitLock,Print,1117788214485800
TransactionEnd,StateUpdate,1117787396864300,ReadUnlock,StateUpdate,1117787287817300,WriteLock,PositionUpdate,1117787836417000,WriteUnlock,StateUpdate,1117787396864000,,,,WriteUnlock,Print,1117788214486100
TransactionEnd,PositionUpdate,1117787396867500,ReadLock,StateUpdate,1117787396860700,CommitLock,PositionUpdate,1117787836419100,ReadLock,PositionUpdate,1117787396864700,,,,WriteLock,StateUpdate,1117788276703500
TransactionStart,PositionUpdate,1117787506896800,ReadUnlock,StateUpdate,1117787396864200,WriteUnlock,PositionUpdate,1117787836420500,ReadUnlock,PositionUpdate,1117787396866600,,,,CommitLock,StateUpdate,1117788276705200
TransactionStart,StateUpdate,1117787506897100,ReadLock,PositionUpdate,1117787396864300,WriteLock,PositionUpdate,1117787947428400,WriteLock,StateUpdate,1117787506897800,,,,WriteUnlock,StateUpdate,1117788276705400
TransactionEnd,StateUpdate,1117787506901100,ReadUnlock,PositionUpdate,1117787396867400,CommitLock,PositionUpdate,1117787947430500,ReadLock,PositionUpdate,1117787506898000,,,,WriteLock,StateUpdate,1117788388201800
TransactionEnd,PositionUpdate,1117787506901300,ReadLock,PositionUpdate,1117787506897400,WriteUnlock,PositionUpdate,1117787947431100,ReadUnlock,PositionUpdate,1117787506900400,,,,WriteUnlock,StateUpdate,1117788388203000
TransactionStart,PositionUpdate,1117787617057200,ReadLock,StateUpdate,1117787506897500,WriteLock,PositionUpdate,1117788057426400,WriteUnlock,StateUpdate,1117787506900800,,,,WriteLock,StateUpdate,1117788498271300
TransactionEnd,PositionUpdate,1117787617062400,ReadUnlock,StateUpdate,1117787506901000,CommitLock,PositionUpdate,1117788057428300,ReadLock,PositionUpdate,1117787617058400,,,,WriteUnlock,StateUpdate,1117788498272500
TransactionStart,StateUpdate,1117787617069800,ReadUnlock,PositionUpdate,1117787506901200,WriteUnlock,PositionUpdate,1117788057429100,ReadUnlock,PositionUpdate,1117787617060800,,,,WriteLock,StateUpdate,1117788609185600
TransactionEnd,StateUpdate,1117787617071800,ReadLock,PositionUpdate,1117787617057800,WriteLock,PositionUpdate,1117788167422800,WriteLock,StateUpdate,1117787617070200,,,,WriteUnlock,StateUpdate,1117788609186900
TransactionStart,StateUpdate,1117787726403000,ReadUnlock,PositionUpdate,1117787617062200,CommitLock,PositionUpdate,1117788167424900,WriteUnlock,StateUpdate,1117787617071600,,,,WriteLock,StateUpdate,1117788719308500
TransactionEnd,StateUpdate,1117787726406700,ReadLock,StateUpdate,1117787617070000,WriteUnlock,PositionUpdate,1117788167425700,WriteLock,StateUpdate,1117787726404000,,,,WriteUnlock,StateUpdate,1117788719309900
TransactionStart,PositionUpdate,1117787726413600,ReadUnlock,StateUpdate,1117787617071700,ReadLock,Print,1117788214428700,WriteUnlock,StateUpdate,1117787726406500,,,,WriteLock,StateUpdate,1117788828798200
TransactionEnd,PositionUpdate,1117787726416000,ReadLock,StateUpdate,1117787726403600,ReadUnlock,Print,1117788214487000,ReadLock,PositionUpdate,1117787726414200,,,,WriteUnlock,StateUpdate,1117788828799500
TransactionStart,PositionUpdate,1117787836415800,ReadUnlock,StateUpdate,1117787726406600,WriteLock,PositionUpdate,1117788276713700,ReadUnlock,PositionUpdate,1117787726415500,,,,WriteLock,StateUpdate,1117788937159500
TransactionStart,StateUpdate,1117787836419800,ReadLock,PositionUpdate,1117787726413800,CommitLock,PositionUpdate,1117788276714800,ReadLock,PositionUpdate,1117787836417200,,,,WriteUnlock,StateUpdate,1117788937160300
TransactionEnd,PositionUpdate,1117787836420800,ReadUnlock,PositionUpdate,1117787726415900,WriteUnlock,PositionUpdate,1117788276715100,ReadUnlock,PositionUpdate,1117787836419200,,,,WriteLock,StateUpdate,1117789048830500
TransactionEnd,StateUpdate,1117787836422900,ReadLock,PositionUpdate,1117787836416700,WriteLock,PositionUpdate,1117788388201600,WriteLock,StateUpdate,1117787836420300,,,,WriteUnlock,StateUpdate,1117789048831700
TransactionStart,StateUpdate,1117787947427400,ReadLock,StateUpdate,1117787836420000,CommitLock,PositionUpdate,1117788388203600,WriteUnlock,StateUpdate,1117787836422600,,,,WriteLock,StateUpdate,1117789159591100
TransactionStart,PositionUpdate,1117787947427400,ReadUnlock,PositionUpdate,1117787836420600,WriteUnlock,PositionUpdate,1117788388204200,WriteLock,StateUpdate,1117787947428400,,,,WriteUnlock,StateUpdate,1117789159592100
TransactionEnd,StateUpdate,1117787947431100,ReadUnlock,StateUpdate,1117787836422700,WriteLock,PositionUpdate,1117788498271100,ReadLock,PositionUpdate,1117787947428600,,,,WriteLock,Print,1117789224034400
TransactionEnd,PositionUpdate,1117787947431300,ReadLock,StateUpdate,1117787947428000,CommitLock,PositionUpdate,1117788498272700,ReadUnlock,PositionUpdate,1117787947430500,,,,CommitLock,Print,1117789224367400
TransactionStart,StateUpdate,1117788057425600,ReadLockWait,PositionUpdate,1117787947428100,WriteUnlock,PositionUpdate,1117788498273700,WriteUnlock,StateUpdate,1117787947430900,,,,WriteUnlock,Print,1117789224367700
TransactionStart,PositionUpdate,1117788057425500,ReadLock,PositionUpdate,1117787947428100,WriteLock,PositionUpdate,1117788609185300,WriteLock,StateUpdate,1117788057426500,,,,WriteLock,StateUpdate,1117789271786600
TransactionEnd,StateUpdate,1117788057429200,ReadUnlock,StateUpdate,1117787947431000,CommitLock,PositionUpdate,1117788609187100,ReadLock,PositionUpdate,1117788057426600,,,,CommitLock,StateUpdate,1117789271788600
TransactionEnd,PositionUpdate,1117788057429300,ReadUnlock,PositionUpdate,1117787947431300,WriteUnlock,PositionUpdate,1117788609188000,ReadUnlock,PositionUpdate,1117788057428400,,,,WriteUnlock,StateUpdate,1117789271788900
TransactionStart,StateUpdate,1117788167421900,ReadLock,StateUpdate,1117788057426100,WriteLock,PositionUpdate,1117788719342700,WriteUnlock,StateUpdate,1117788057428900,,,,WriteLock,StateUpdate,1117789381999400
TransactionStart,PositionUpdate,1117788167421900,ReadLock,PositionUpdate,1117788057426200,CommitLock,PositionUpdate,1117788719344400,WriteLock,StateUpdate,1117788167423000,,,,WriteUnlock,StateUpdate,1117789382000300
TransactionEnd,StateUpdate,1117788167425800,ReadUnlock,StateUpdate,1117788057429100,WriteUnlock,PositionUpdate,1117788719345600,ReadLock,PositionUpdate,1117788167423000,,,,WriteLock,StateUpdate,1117789492451100
TransactionEnd,PositionUpdate,1117788167425900,ReadUnlock,PositionUpdate,1117788057429200,WriteLock,PositionUpdate,1117788828797900,ReadUnlock,PositionUpdate,1117788167424900,,,,WriteUnlock,StateUpdate,1117789492453100
TransactionStart,Print,1117788214427700,ReadLockWait,PositionUpdate,1117788167422600,CommitLock,PositionUpdate,1117788828801200,WriteUnlock,StateUpdate,1117788167425500,,,,WriteLock,StateUpdate,1117789604440300
TransactionEnd,Print,1117788214487600,ReadLock,StateUpdate,1117788167422600,WriteUnlock,PositionUpdate,1117788828802000,WriteLock,StateUpdate,1117788276703300,,,,WriteUnlock,StateUpdate,1117789604441300
TransactionStart,StateUpdate,1117788276702300,ReadLock,PositionUpdate,1117788167422600,WriteLock,PositionUpdate,1117788937150300,CommitLock,StateUpdate,1117788276705200,,,,WriteLock,StateUpdate,1117789715519500
TransactionEnd,StateUpdate,1117788276706600,ReadUnlock,StateUpdate,1117788167425600,CommitLock,PositionUpdate,1117788937152300,WriteUnlock,StateUpdate,1117788276706400,,,,WriteUnlock,StateUpdate,1117789715520700
